student_id,student_name,gender,age,department,semester,city,family_income_group,attendance_percentage,login_count,hours_studied_online,videos_watched,assignments_submitted,quiz_attempts,discussion_posts,ai_tool_usage_count,subject,internal_marks,practical_marks,final_exam_marks,total_marks,grade,cgpa,technical_skill_score,aptitude_score,communication_score,interview_score,internship_completed,placement_status,package_lpa,performance_label
100015,Student_100015,Other,20,Cyber Security,2,Mumbai,Lower Middle,84.07,33,49.04,21,9,12,3,6,Big Data,31.13,22.94,83.47,80.38,A,7.86,81.07,51.04,54.11,67.08,No,Not Placed,0,Good
100016,Student_100016,Other,20,ECE,1,Pune,Middle,68.21,24,19.75,17,9,7,4,5,Statistics,31.64,27.79,65.21,74.87,A,7.69,52.15,74.04,40.92,55.74,Yes,Not Placed,0,Good
100017,Student_100017,Other,21,Data Science,8,Nagpur,Middle,71.55,25,50.66,13,9,11,2,6,Apache Spark,28.72,24.52,66.93,71.36,A,7.24,66.38,55.36,55.26,68.73,Yes,Placed,8.49,Good
100018,Student_100018,Other,24,CSE,3,Nashik,High,88.99,58,67.3,31,11,13,9,10,Big Data,40,24.84,73.95,83.53,A,8.29,85.61,40.07,82.09,97.85,No,Placed,6.85,Good
100019,Student_100019,Female,21,IT,6,Thane,Middle,,44,45.78,20,8,11,4,8,Apache Spark,21.0,13.56,42.32,45.95,C,4.44,32.44,48.78,53.61,54.11,No,Not Placed,0,Poor
100020,Student_100020,Female,23,AIML,4,Nagpur,Low,75.83,29,47.94,17,10,7,6,2,Apache Spark,33.23,24.17,76.45,79.26,A,7.95,77.12,72.07,47.11,72.05,Yes,Placed,8.03,Good
100021,Student_100021,Female,22,IT,6,Satara,Middle,80.19,42,57.98,15,6,10,2,4,Apache Spark,40,30,100,100.0,A+,10,87.73,86.64,62.72,73.77,Yes,Placed,6.5,Excellent
100022,Student_100022,Other,19,Cyber Security,6,Nashik,Middle,82.88,34,62.68,22,10,9,5,7,Big Data,28.04,20.78,39.94,54.85,C,5.43,31.25,25.47,63.37,69.67,No,Not Placed,0,Poor
100023,Student_100023,Other,23,Data Science,7,Nagpur,High,98,64,94.04,49,12,16,9,15,Big Data,39.28,29.97,88.66,93.77,A+,9.42,81.75,70.12,66.5,92.85,Yes,Placed,8.37,Excellent
100024,Student_100024,Male,20,IT,8,Nagpur,Low,92.1,57,70.68,30,11,12,5,8,Deep Learning,40,30,71.86,85.93,A+,8.68,100,71.35,,77.5,Yes,Placed,3.59,Excellent
100025,Student_100025,Male,21,CSE,8,Pune,Middle,69.36,49,53.89,30,10,12,7,9,Machine Learning,15.38,14.56,59.66,51.07,C,4.93,46.11,32.49,74.28,70.24,No,Not Placed,0,Poor
100026,Student_100026,Male,24,CSE,7,Mumbai,High,77.29,41,66.3,29,11,13,2,7,Machine Learning,29.69,26.67,70.76,75.42,A,7.68,86.34,48.46,82.53,65.48,No,Not Placed,0,Good
100027,Student_100027,Other,19,IT,8,Kolhapur,High,,31,57.98,14,8,5,1,3,Statistics,34.57,20.8,85.94,82.77,A,8.22,66.34,64.54,60.27,53.89,No,Not Placed,0,Good
100028,Student_100028,Male,18,ECE,2,Satara,High,86.25,55,79.46,37,12,14,8,12,Statistics,26.41,30,78.1,78.85,A,7.75,76.17,61.05,78.29,70.69,Yes,Placed,12.47,Good
100029,Student_100029,Female,18,Cyber Security,8,Satara,Lower Middle,75.39,22,45.41,17,9,7,1,6,Deep Learning,40,26.2,74.48,84.7,A,8.49,74.28,91.45,35.51,65.56,Yes,Placed,13.4,Good
100030,Student_100030,Male,21,CSE,1,Kolhapur,Lower Middle,67.17,14,38.61,20,7,3,2,5,Statistics,26.12,18.86,61.06,62.7,B,6.39,59.6,56.64,49.26,55.59,No,Not Placed,0,Average
100031,Student_100031,Other,25,AIML,5,Mumbai,Lower Middle,78.25,41,40.22,18,9,11,2,9,Big Data,16.48,24.91,68.05,62.99,B,6.23,61.95,38.58,88.68,54.4,Yes,Not Placed,0,Average
100032,Student_100032,Other,19,IT,3,Pune,Lower Middle,79.08,32,29.67,21,12,11,3,5,Machine Learning,17.19,18.51,73.48,61.98,B,6.02,45.48,40.45,60.97,58.45,No,Not Placed,0,Average
100033,Student_100033,Female,19,ECE,8,Thane,Upper Middle,69.5,46,35.1,21,7,13,7,9,Big Data,24.22,10.13,54.56,52.2,C,4.97,33.22,21.26,48.51,50.69,No,Not Placed,0,Poor
100034,Student_100034,Other,19,CSE,8,Satara,Lower Middle,66.19,23,12.3,12,5,6,3,2,Statistics,29.53,16.11,46.33,56.05,B,5.5,61.58,63.37,41.88,39.38,No,Not Placed,0,Average
100035,Student_100035,Female,22,IT,7,Nashik,Middle,,30,38.7,16,7,8,0,2,Deep Learning,25.74,28.07,68.41,72.22,A,7.27,72.17,78.13,57.89,36.5,No,Placed,7.88,Good
100036,Student_100036,Other,24,ECE,5,Kolhapur,Upper Middle,85.67,54,88.62,24,12,14,6,8,Machine Learning,21.71,21.36,57.84,59.44,B,6.1,62.0,39.36,65.28,28.45,Yes,Not Placed,0,Average
100037,Student_100037,Other,22,ECE,6,Satara,Middle,87.07,47,70.21,26,12,19,5,8,NLP,19.72,16.24,67.77,59.51,B,5.67,37.23,35.51,76.3,77.81,Yes,Placed,13.42,Average
100038,Student_100038,Female,18,Cyber Security,2,Mumbai,Low,80.17,37,62.75,22,12,14,9,8,Machine Learning,25.35,16.77,48.05,54.21,C,5.48,48.49,0,95.35,51.19,No,Not Placed,0,Poor
100039,Student_100039,Male,23,CSE,3,Nashik,Upper Middle,60.95,36,43.92,23,8,11,7,5,Apache Spark,16.49,12.3,40.81,40.97,C,4.28,43.46,31.73,64.97,15.36,No,Not Placed,0,Poor
100040,Student_100040,Male,23,CSE,1,Satara,Lower Middle,48.8,3,0.7,6,3,2,0,0,Statistics,20.74,16.21,56.1,54.41,C,5.59,50.31,54.11,15.67,21.18,No,Not Placed,0,Poor
100041,Student_100041,Female,25,Data Science,7,Thane,Middle,82.55,56,64.27,41,12,17,10,13,Machine Learning,25.1,24.38,54.88,62.52,B,6.03,55.58,65.11,59.88,55.25,No,Not Placed,0,Average
100042,Student_100042,Other,24,ECE,2,Kolhapur,Upper Middle,71.44,45,76.47,20,9,13,6,8,Big Data,34.54,21.64,71.9,76.28,A,7.54,53.95,78.89,64.91,58.98,No,Not Placed,0,Good
100043,Student_100043,Male,21,AIML,2,Pune,Lower Middle,85.24,46,48.71,19,10,12,5,9,Apache Spark,32.31,20.45,50.58,63.16,B,6.24,68.45,52.34,,57.87,No,Placed,5.83,Average
100044,Student_100044,Male,25,Cyber Security,1,Satara,Middle,82.86,59,63.06,33,12,16,8,15,NLP,26.44,28.92,80.97,79.59,A,8.33,36.56,47.45,90.05,54.49,No,Not Placed,0,Good
100045,Student_100045,Female,21,Data Science,8,Nagpur,High,50.44,34,8.42,17,4,4,4,6,Machine Learning,15.81,11.11,19.99,29.26,C,2.72,5.77,31.5,49.17,8.04,Yes,Not Placed,0,Poor
100046,Student_100046,Male,21,IT,6,Satara,Lower Middle,85.59,42,63.1,28,11,10,10,9,Machine Learning,15.11,11.63,43.22,40.69,C,3.91,27.19,25.35,76.85,12.8,Yes,Not Placed,0,Poor
100047,Student_100047,Male,22,CSE,5,Nashik,Upper Middle,59.61,36,12.63,17,7,4,0,5,Big Data,7.72,8.7,34.56,28.86,C,3.57,0,22.75,33.31,50.18,Yes,Not Placed,0,Poor
100048,Student_100048,Male,23,AIML,5,Nashik,High,72.85,28,15.66,15,8,12,7,6,NLP,15.58,20.02,52.19,51.12,C,5.25,36.97,39.72,66.05,42.84,No,Not Placed,0,Poor
100049,Student_100049,Male,24,IT,1,Thane,High,78.31,35,10.97,15,6,6,6,6,Apache Spark,16.94,10.7,53.1,46.39,C,4.52,11.16,28.6,31.0,22.66,No,Not Placed,0,Poor
100050,Student_100050,Other,20,CSE,5,Pune,Middle,70.34,57,55.94,32,7,12,7,8,NLP,,18.06,45.18,49.33,C,4.88,26.49,27.39,49.48,27.8,No,Not Placed,0,Poor
100051,Student_100051,Male,19,IT,3,Pune,Lower Middle,68.29,29,44.55,5,4,4,0,1,Deep Learning,16.83,20.9,68.85,60.98,B,6.07,70.49,47.44,44.48,30.18,No,Not Placed,0,Average
100052,Student_100052,Other,22,AIML,1,Nagpur,Lower Middle,62.89,37,5.02,,3,6,0,2,Machine Learning,23.08,5.38,41.83,41.81,C,4.41,29.36,20.04,40.06,18.91,No,Not Placed,0,Poor
100053,Student_100053,Male,23,IT,1,Thane,High,64.44,8,18.32,5,4,5,3,0,Apache Spark,21.96,30,60.34,66.64,B,5.86,68.57,71.04,29.34,50.98,Yes,Not Placed,0,Average
100054,Student_100054,Other,25,IT,2,Nashik,Upper Middle,79.65,67,,35,12,17,8,14,Apache Spark,29.74,30,79.89,82.25,A,7.98,61.9,56.06,79.43,63.27,No,Placed,6.43,Good
100055,Student_100055,Other,21,AIML,2,Pune,Upper Middle,79.31,44,64.01,26,10,12,4,11,NLP,25.9,20.13,65.85,65.78,B,6.72,50.63,50.0,58.36,55.89,Yes,Not Placed,0,Average
100056,Student_100056,Female,19,Cyber Security,7,Mumbai,Middle,58.98,32,7.62,16,7,7,5,4,Statistics,14.6,15.33,50.47,46.41,C,4.7,42.85,52.48,,15.45,No,Not Placed,0,Poor
100057,Student_100057,Female,25,CSE,5,Nagpur,Low,90.39,39,95.63,21,12,12,4,9,Machine Learning,33.44,30,87.79,88.97,A+,8.98,94.69,60.53,78.53,80.88,Yes,Placed,13.86,Excellent
100058,Student_100058,Other,20,ECE,5,Pune,Lower Middle,53.05,0,0,2,3,3,0,0,Apache Spark,13.44,6.13,29.43,28.88,C,3.25,19.41,8.53,0,26.69,No,Not Placed,0,Poor
100059,Student_100059,Male,21,CSE,3,Kolhapur,Lower Middle,79.89,49,73.49,22,8,9,5,7,NLP,40,28.35,88.91,93.36,A+,9.84,53.92,49.86,66.51,60.44,Yes,Placed,3.6,Excellent
100060,Student_100060,Male,18,CSE,3,Pune,High,80.94,67,57.52,16,10,14,1,8,NLP,38.8,27.39,86.23,90.47,A+,9.2,79.04,78.73,68.22,67.53,No,Placed,3.67,Excellent
100061,Student_100061,Other,25,AIML,2,Pune,Middle,68.77,21,26.88,18,7,3,2,3,Machine Learning,23.23,25.43,49.72,59.24,B,5.99,37.56,25.74,21.24,46.0,Yes,Not Placed,0,Average
100062,Student_100062,Male,18,Data Science,2,Mumbai,Middle,65.46,25,5.01,19,5,8,3,5,Statistics,7.4,7.09,26.9,23.73,C,2.49,18.09,21.09,47.87,13.56,No,Not Placed,0,Poor
100063,Student_100063,Other,24,CSE,8,Satara,High,73.88,36,30.56,19,9,9,5,0,NLP,13.54,19.31,55.36,50.71,C,4.86,44.61,47.18,48.15,28.77,No,Not Placed,0,Poor
100064,Student_100064,,22,ECE,8,Nashik,Upper Middle,87.15,42,79.43,30,12,14,6,11,Apache Spark,27.88,17.24,66.15,65.48,B,6.84,45.77,55.71,91.35,73.07,No,Not Placed,0,Average
100065,Student_100065,Female,25,AIML,1,Nagpur,High,85.65,40,54.9,21,8,10,2,5,NLP,30.26,29.71,92.39,88.7,A+,8.95,82.22,68.76,27.08,71.15,Yes,Placed,7.28,Excellent
100066,Student_100066,Male,24,ECE,5,Nagpur,Low,78.24,25,45.25,20,6,11,3,5,NLP,25.74,16.49,51.73,56.17,B,6.18,30.96,23.51,51.58,19.51,No,Not Placed,0,Average
100067,Student_100067,Male,20,Cyber Security,3,Pune,Low,92.52,44,71.96,31,9,13,4,11,NLP,33.73,30,76.45,83.52,A,8.06,76.65,63.82,56.01,65.12,Yes,Not Placed,0,Good
100068,Student_100068,Female,22,CSE,3,Thane,Lower Middle,96.42,48,78.43,38,12,13,13,11,Apache Spark,30.61,15.94,90.41,78.78,A,8.16,82.68,56.78,100,70.93,Yes,Placed,13.28,Good
100069,Student_100069,Male,21,CSE,2,Pune,Upper Middle,70.11,35,43.66,23,11,9,4,5,Big Data,9.82,17.55,58.14,48.14,C,4.78,43.13,44.36,63.99,50.98,No,Not Placed,0,Poor
100070,Student_100070,Male,20,AIML,8,Kolhapur,Lower Middle,68.31,26,22.15,13,5,8,5,4,Deep Learning,26.2,16.76,42.74,52.2,C,5.18,47.13,55.89,39.65,36.29,No,Not Placed,0,Poor
100071,Student_100071,Female,22,Data Science,1,Mumbai,Upper Middle,82.69,52,51.21,26,10,15,7,7,Big Data,27.63,17.63,79.5,72.22,A,7.23,60.48,49.03,78.44,50.58,Yes,Placed,7.73,Good
100072,Student_100072,Other,24,AIML,1,Mumbai,Low,71.0,28,44.91,,7,9,7,4,Apache Spark,27.68,21.32,62.63,66.29,B,6.59,53.56,39.73,53.43,61.79,No,Not Placed,0,Average
100073,Student_100073,Male,19,Cyber Security,1,Kolhapur,High,72.25,11,62.65,15,8,9,2,6,Statistics,36.17,25.16,79.62,83.71,A,8.27,98.49,86.9,,84.41,Yes,Placed,9.71,Good
100074,Student_100074,Female,22,Cyber Security,1,Thane,Upper Middle,71.29,55,54.33,30,12,12,4,6,Deep Learning,11.21,16.81,50.53,44.88,C,4.65,22.4,21.41,80.69,48.11,No,Not Placed,0,Poor
100075,Student_100075,Female,24,ECE,2,Thane,Middle,63.52,0,28.39,5,4,10,0,3,Big Data,30.49,18.99,68.68,69.86,B,7.05,65.42,75.67,18.81,67.0,Yes,Placed,6.15,Average
100076,Student_100076,Male,24,AIML,4,Thane,Middle,88.12,65,47.93,29,11,13,9,7,Apache Spark,34.94,24.39,61.18,73.05,A,7.04,73.13,44.85,67.33,70.62,No,Not Placed,0,Good
100077,Student_100077,Other,22,ECE,7,Nashik,Middle,60.81,38,38.37,14,7,4,4,0,Apache Spark,24.33,9.23,66.12,57.47,B,5.8,44.08,68.97,29.68,58.35,Yes,Not Placed,0,Average
100078,Student_100078,Female,22,Cyber Security,7,Satara,,98,60,61.67,34,10,19,12,11,NLP,27.22,24.13,75.8,74.4,A,7.14,48.22,52.21,63.07,76.94,Yes,Placed,8.69,Good
100079,Student_100079,Female,21,AIML,7,Pune,Middle,59.45,36,11.41,16,4,12,2,7,Deep Learning,15.63,5.11,24.71,27.48,C,2.42,9.9,2.89,44.88,17.77,No,Not Placed,0,Poor
100080,Student_100080,Female,25,Cyber Security,6,Thane,Middle,66.01,21,47.54,14,8,8,2,5,Deep Learning,19.85,9.01,56.95,49.37,C,4.81,37.76,41.91,51.34,32.71,No,Not Placed,0,Poor
100081,Student_100081,Male,25,ECE,8,Pune,Upper Middle,82.77,35,55.86,20,7,9,6,7,NLP,16.95,25.89,73.97,66.96,B,6.55,67.19,23.55,56.4,69.6,No,Not Placed,0,Average
100082,Student_100082,Male,22,CSE,1,Nagpur,Upper Middle,70.95,40,59.87,,9,12,6,8,Deep Learning,25.89,30,70.86,74.85,A,7.9,56.14,55.14,61.34,69.9,Yes,Placed,5.77,Good
100083,Student_100083,Female,24,IT,3,Satara,Upper Middle,98,58,96.53,38,12,18,11,15,Apache Spark,40,29.86,80.76,90.29,A+,9.01,84.93,43.79,84.41,81.68,No,Placed,11.6,Excellent
100084,Student_100084,Other,18,CSE,8,Satara,Low,69.8,28,420,8,6,5,1,2,Apache Spark,7.55,15.6,35.65,33.89,C,3.03,41.85,50.4,34.54,24.84,No,Not Placed,0,Poor
100085,Student_100085,Male,21,Data Science,4,Mumbai,Lower Middle,80.12,39,37.21,25,10,14,7,7,Machine Learning,35.42,21.41,50.48,66.08,B,6.41,42.6,50.96,87.32,23.77,No,Not Placed,0,Average
100086,Student_100086,Male,23,Data Science,4,Satara,Middle,75.4,36,35.88,16,7,8,1,4,Deep Learning,19.69,21.81,46.68,52.65,C,5.53,54.16,60.22,42.52,49.73,No,Not Placed,0,Poor
100087,Student_100087,Female,21,AIML,4,Nashik,Middle,69.55,35,39.79,35,10,11,4,6,Machine Learning,29.39,15.8,73.47,69.31,B,6.83,37.81,51.57,69.65,66.49,No,Not Placed,0,Average
100088,Student_100088,Female,25,Data Science,4,Nashik,Low,70.16,20,29.91,25,9,12,6,5,Big Data,14.0,14.1,33.43,36.62,C,3.55,37.15,36.61,75.47,40.58,No,Not Placed,0,Poor
100089,Student_100089,Other,20,CSE,6,Mumbai,Middle,77.31,44,75.38,27,10,15,7,8,Machine Learning,17.81,24.73,64.03,61.86,B,6.34,75.92,58.86,85.92,72.56,No,Placed,3.98,Average
100090,Student_100090,Male,18,IT,8,Mumbai,High,71.14,13,29.62,14,4,8,0,5,Apache Spark,24.87,20.94,57.74,61.48,B,6.53,47.93,42.01,37.4,46.59,Yes,Not Placed,0,Average
100091,Student_100091,Female,18,CSE,5,Pune,Lower Middle,96.87,45,52.29,25,6,9,7,7,NLP,31.29,29.21,,75.31,A,7.62,60.12,63.85,46.91,40.26,No,Not Placed,0,Good
100092,Student_100092,Female,24,ECE,4,Mumbai,Middle,66.41,31,36.64,13,8,11,3,5,Deep Learning,21.74,19.03,69.74,63.86,B,6.23,58.43,46.55,41.74,52.18,No,Not Placed,0,Average
100093,Student_100093,Female,21,ECE,2,Nashik,Lower Middle,76.81,20,36.04,21,5,9,4,6,NLP,21.37,11.92,48.0,47.98,C,4.69,51.05,57.11,50.6,42.61,No,Not Placed,0,Poor
100094,Student_100094,Male,24,IT,3,Nashik,High,,37,6.59,11,5,5,0,2,NLP,17.65,11.55,60.9,51.38,C,5.32,55.72,79.66,49.48,51.22,Yes,Not Placed,0,Poor
100095,Student_100095,Other,25,Data Science,7,Pune,Lower Middle,80.48,33,47.73,24,7,8,6,8,Deep Learning,16.98,14.96,43.87,44.64,C,4.45,51.65,29.83,41.23,25.94,No,Not Placed,0,Poor
100096,Student_100096,Female,22,AIML,3,Kolhapur,Lower Middle,71.23,34,41.99,20,7,12,0,9,Apache Spark,23.26,21.32,69.02,66.16,B,6.15,31.58,55.21,51.97,20.39,No,Not Placed,0,Average
100097,Student_100097,Other,19,IT,3,Thane,Lower Middle,79.98,56,52.56,26,8,7,4,8,NLP,34.51,21.52,73.97,77.22,A,7.78,76.16,78.2,58.37,89.52,No,Not Placed,0,Good
100098,Student_100098,Male,23,AIML,5,Pune,Middle,73.5,26,11.87,24,8,7,4,5,Apache Spark,20.83,13.68,43.77,46.63,C,4.48,24.05,56.03,37.97,32.1,No,Not Placed,0,Poor
100099,Student_100099,Male,18,CSE,6,Satara,Lower Middle,71.14,31,26.78,18,5,10,1,6,Deep Learning,9.92,10.27,31.5,30.04,C,3.38,48.01,49.17,42.28,35.34,No,Not Placed,0,Poor
100100,Student_100100,Male,20,AIML,4,Mumbai,Upper Middle,68.9,30,29.08,19,5,11,0,4,Deep Learning,9.03,14.31,58.43,45.53,C,4.25,41.3,50.48,48.39,34.0,No,Not Placed,0,Poor
100101,Student_100101,Male,22,Data Science,4,Pune,Upper Middle,78.63,32,62.79,16,5,11,7,5,NLP,38.5,17.7,82.94,82.15,A,8.55,64.17,87.63,61.79,93.57,No,Not Placed,0,Good
100102,Student_100102,Female,18,AIML,5,Nashik,,98,72,89.42,41,12,16,13,17,NLP,40,21.91,66.33,77.77,A,8.08,78.06,71.81,73.1,77.64,Yes,Placed,12.09,Good
100103,Student_100103,Male,24,ECE,4,Pune,High,88.57,57,72.2,29,11,14,6,17,Machine Learning,31.9,30,90.3,89.07,A+,8.83,100,97.37,76.77,51.35,Yes,Placed,4.5,Excellent
100104,Student_100104,Other,23,IT,7,Mumbai,High,97.67,62,73.44,23,9,14,14,13,Big Data,23.16,21.18,56.74,59.86,B,5.71,55.54,63.6,96.56,36.75,No,Not Placed,0,Average
100105,Student_100105,Male,19,IT,5,Kolhapur,Middle,73.37,61,74.34,,10,12,2,8,Deep Learning,35.81,29.51,100,96.53,A+,9.74,,71.82,72.63,91.05,Yes,Placed,5.03,Excellent
100106,Student_100106,Male,18,IT,1,Mumbai,Middle,84.41,50,57.64,28,12,17,11,11,NLP,28.03,30,63.52,72.78,A,7.45,64.6,61.64,77.37,50.26,No,Not Placed,0,Good
100107,Student_100107,Male,22,IT,5,Pune,Low,75.17,41,19.66,16,9,7,0,1,Machine Learning,22.52,13.88,45.33,48.81,C,5.4,43.37,38.31,57.7,8.02,No,Not Placed,0,Poor
100108,Student_100108,Male,25,AIML,1,Thane,,69.07,38,48.85,13,7,11,4,5,Deep Learning,30.5,28.17,62.67,72.99,A,7.41,62.58,69.33,63.64,23.68,No,Not Placed,0,Good
100109,Student_100109,Male,18,AIML,3,Nashik,Middle,69.02,35,0,23,9,12,6,9,Big Data,15.43,3.66,32.39,30.21,C,3.52,28.29,26.01,47.25,18.29,No,Not Placed,0,Poor
100110,Student_100110,Female,23,ECE,2,Nashik,High,70.14,25,45.3,18,8,8,5,6,Deep Learning,25.56,23.63,53.67,61.76,B,6.4,55.61,45.58,65.46,34.59,No,Not Placed,0,Average
100111,Student_100111,Other,25,Data Science,1,Nashik,Upper Middle,77.06,32,10.35,26,9,10,1,8,NLP,28.25,21.04,81.09,75.76,A,7.74,55.91,51.32,63.79,67.7,Yes,Not Placed,0,Good
100112,Student_100112,Male,23,IT,1,Pune,Upper Middle,64.78,31,28.52,15,5,7,4,7,Machine Learning,,22.94,55.88,56.34,B,5.7,43.27,42.22,53.16,49.62,No,Not Placed,0,Average
100113,Student_100113,Male,25,AIML,4,Pune,Upper Middle,,51,57.11,24,12,12,7,9,Statistics,18.66,21.02,70.24,63.13,B,6.09,38.75,47.75,58.65,57.87,No,Not Placed,0,Average
100114,Student_100114,Female,24,ECE,1,Pune,Lower Middle,67.21,22,39.84,19,8,7,4,0,NLP,25.55,21.99,72.66,70.15,A,6.57,64.86,60.3,51.26,45.83,No,Not Placed,0,Good
100115,Student_100115,Male,23,CSE,6,Nagpur,High,54.37,25,18.24,14,4,8,4,0,Statistics,22.47,20.82,43.46,52.46,C,5.19,33.37,47.13,46.37,,Yes,Not Placed,0,Poor
100116,Student_100116,Female,24,AIML,4,Kolhapur,Lower Middle,65.61,24,40.05,24,9,10,4,0,Big Data,7.06,11.79,33.07,29.69,C,3.32,11.09,47.17,74.05,34.57,No,Not Placed,0,Poor
100117,Student_100117,Male,24,AIML,7,Thane,Lower Middle,58.43,9,20.49,4,4,3,4,1,Deep Learning,17.13,26.08,72.92,66.7,B,6.71,60.33,82.15,45.04,35.78,No,Not Placed,0,Average
100118,Student_100118,Other,18,AIML,7,Kolhapur,Low,73.97,23,52.12,15,7,3,4,6,NLP,28.92,20.88,57.26,64.24,B,6.48,51.01,51.93,43.89,50.11,Yes,Not Placed,0,Average
100119,Student_100119,Female,23,AIML,5,Thane,Lower Middle,71.76,36,32.5,21,8,10,3,4,Statistics,38.79,22.76,84.01,86.27,A+,8.76,74.66,64.51,67.76,63.81,Yes,Placed,3.3,Excellent
100120,Student_100120,Male,19,Cyber Security,5,Kolhapur,Lower Middle,66.66,30,33.84,19,7,7,3,4,Big Data,27.98,16.22,53.55,58.58,B,5.95,43.24,36.92,45.9,18.73,No,Not Placed,0,Average
100121,Student_100121,Other,18,AIML,2,Pune,Middle,67.31,27,22.57,18,6,7,5,5,Apache Spark,19.83,20.86,52.2,54.88,C,5.79,46.15,49.03,47.79,41.78,No,Not Placed,0,Poor
100122,Student_100122,Other,23,Cyber Security,7,Nagpur,Low,77.81,9,23.68,8,3,6,3,2,Machine Learning,27.76,18.37,63.34,64.74,B,6.47,35.05,69.55,37.59,55.32,Yes,Not Placed,0,Average
100123,Student_100123,Male,21,CSE,8,Nagpur,Middle,66.46,31,29.53,21,10,11,2,8,Machine Learning,12.75,13.27,42.53,39.67,C,4.24,49.1,25.99,67.65,42.0,No,Not Placed,0,Poor
100124,Student_100124,Male,23,IT,5,Pune,High,74.73,49,54.45,20,11,11,6,7,Big Data,20.6,30,90.18,80.54,A,8.02,96.64,43.08,62.05,75.34,No,Placed,11.38,Good
100125,Student_100125,Other,24,ECE,7,Nashik,Low,78.3,35,43.7,19,9,8,5,10,Machine Learning,34.78,30,61.98,77.08,A,7.56,73.61,56.59,58.31,78.89,No,Placed,12.1,Good
100126,Student_100126,Male,19,IT,1,Satara,High,69.08,23,24.93,19,6,10,3,7,Apache Spark,11.14,12.77,43.84,38.79,C,3.94,46.81,6.96,38.09,29.22,No,Not Placed,0,Poor
100127,Student_100127,Other,25,ECE,4,Kolhapur,High,81.92,65,63.1,27,10,12,9,12,Machine Learning,19.86,13.54,42.29,45.06,C,4.2,42.41,41.45,75.46,58.9,No,Not Placed,0,Poor
